label	iVecCoun	dRadius	dCohIndex	vardRadius	vardCohIndex	d_varRad	d_varCoh	da5Radius_v0	da5Radius_v1	da5Radius_v2	da5Radius_v3	da5Radius_v4	da5Radius_f0	da5Radius_f1	da5Radius_f2	da5Radius_f3	da5Radius_f4	da5Radius_%0	da5Radius_%1	da5Radius_%2	da5Radius_%3	da5Radius_%4	dCos	dSin	da5Degree_v0	da5Degree_v1	da5Degree_v2	da5Degree_v3	da5Degree_v4	da5Degree_f0	da5Degree_f1	da5Degree_f2	da5Degree_f3	da5Degree_f4	da5Degree_%0	da5Degree_%1	da5Degree_%2	da5Degree_%3	da5Degree_%4	iRGBTotal	iRMean	iGMean	iBMean	d_luminance	ia5R_v0	ia5R_v1	ia5R_v2	ia5R_v3	ia5R_v4	ia5R_f0	ia5R_f1	ia5R_f2	ia5R_f3	ia5R_f4	ia5R_%0	ia5R_%1	ia5R_%2	ia5R_%3	ia5R_%4	ia5G_v0	ia5G_v1	ia5G_v2	ia5G_v3	ia5G_v4	ia5G_f0	ia5G_f1	ia5G_f2	ia5G_f3	ia5G_f4	ia5G_%0	ia5G_%1	ia5G_%2	ia5G_%3	ia5G_%4	ia5B_v0	ia5B_v1	ia5B_v2	ia5B_v3	ia5B_v4	ia5B_f0	ia5B_f1	ia5B_f2	ia5B_f3	ia5B_f4	ia5B_%0	ia5B_%1	ia5B_%2	ia5B_%3	ia5B_%4
1	48	1.663350	66.624498	1.663350	66.624498	-1.829659	1.128928	2.000000	1.000000	3.000000	0.000000	0.000000	25.000000	20.000000	3.000000	0.000000	0.000000	52.083333	41.666667	6.250000	0.000000	0.000000	0.152325	0.230208	42.000000	303.000000	293.000000	54.000000	50.000000	3.000000	2.000000	2.000000	2.000000	2.000000	6.250000	4.166667	4.166667	4.166667	4.166667	1200	50	61	96	61.701000	45	44	43	49	41	61	55	49	46	44	5	4	4	3	3	44	45	50	46	43	49	47	39	37	37	4	3	3	3	3	64	112	129	101	97	20	18	17	17	17	1	1	1	1	1
1	64	1.628485	83.464127	0.034866	16.839629	-1.942140	2.173919	2.000000	1.000000	3.000000	0.000000	0.000000	37.000000	26.000000	1.000000	0.000000	0.000000	57.812500	40.625000	1.562500	0.000000	0.000000	0.002143	0.441640	76.000000	354.000000	353.000000	351.000000	178.000000	3.000000	2.000000	2.000000	2.000000	2.000000	4.687500	3.125000	3.125000	3.125000	3.125000	1600	47	58	90	58.359000	42	44	45	43	33	48	47	44	41	41	3	2	2	2	2	49	44	48	45	50	48	46	44	44	40	3	2	2	2	2	97	89	78	80	88	22	21	21	19	18	1	1	1	1	1
1	26	1.608686	73.524985	0.019798	9.939142	-2.006012	1.557141	1.000000	2.000000	3.000000	0.000000	0.000000	13.000000	11.000000	2.000000	0.000000	0.000000	50.000000	42.307692	7.692308	0.000000	0.000000	-0.047014	0.480787	86.000000	347.000000	334.000000	332.000000	302.000000	3.000000	1.000000	1.000000	1.000000	1.000000	11.538462	3.846154	3.846154	3.846154	3.846154	650	52	60	89	60.914000	52	51	53	48	50	35	30	29	29	28	5	4	4	4	4	50	40	51	52	74	37	29	27	23	22	5	4	4	3	3	52	56	55	54	50	18	16	16	14	14	2	2	2	2	2
1	51	1.627615	51.532267	0.018929	21.992718	-1.944946	0.192372	2.000000	1.000000	0.000000	0.000000	0.000000	35.000000	16.000000	0.000000	0.000000	0.000000	68.627451	31.372549	0.000000	0.000000	0.000000	0.612959	-0.043649	85.000000	352.000000	344.000000	331.000000	329.000000	3.000000	2.000000	2.000000	2.000000	2.000000	5.882353	3.921569	3.921569	3.921569	3.921569	1275	43	55	90	55.402000	32	33	31	30	36	64	60	51	49	44	5	4	4	3	3	36	56	38	37	40	44	43	39	39	37	3	3	3	3	2	52	56	64	58	66	24	21	20	20	19	1	1	1	1	1
1	55	2.035219	30.684930	0.407604	20.847337	-0.629960	-1.101320	2.000000	3.000000	1.000000	0.000000	0.000000	37.000000	10.000000	8.000000	0.000000	0.000000	67.272727	18.181818	14.545455	0.000000	0.000000	0.153031	-0.454672	178.000000	331.000000	294.000000	287.000000	284.000000	6.000000	2.000000	2.000000	2.000000	2.000000	10.909091	3.636364	3.636364	3.636364	3.636364	1375	48	54	78	54.942000	34	35	38	39	40	47	44	41	40	39	3	3	2	2	2	38	41	39	43	37	56	55	50	47	43	4	4	3	3	3	61	59	58	67	64	49	37	31	27	27	3	2	2	1	1
1	67	1.913146	27.597700	0.122073	3.087230	-1.023785	-1.292899	2.000000	1.000000	3.000000	0.000000	0.000000	42.000000	16.000000	9.000000	0.000000	0.000000	62.686567	23.880597	13.432836	0.000000	0.000000	0.330822	-0.478013	273.000000	303.000000	356.000000	330.000000	325.000000	3.000000	3.000000	2.000000	2.000000	2.000000	4.477612	4.477612	2.985075	2.985075	2.985075	1675	50	56	81	57.056000	38	35	40	37	36	75	71	66	63	56	4	4	3	3	3	40	37	42	41	43	67	55	54	54	52	4	3	3	3	3	62	66	65	63	67	52	49	49	43	39	3	2	2	2	2
1	42	1.758085	25.303801	0.155061	2.293899	-1.524032	-1.435248	2.000000	1.000000	3.000000	0.000000	0.000000	27.000000	14.000000	1.000000	0.000000	0.000000	64.285714	33.333333	2.380952	0.000000	0.000000	0.507549	-0.492148	288.000000	355.000000	325.000000	311.000000	300.000000	3.000000	2.000000	2.000000	2.000000	2.000000	7.142857	4.761905	4.761905	4.761905	4.761905	1050	53	63	96	63.772000	39	66	68	38	51	37	34	33	31	30	3	3	3	2	2	51	74	56	41	52	31	29	27	26	25	2	2	2	2	2	48	108	106	87	81	23	19	17	17	17	2	1	1	1	1
1	25	1.834845	35.988449	0.076760	10.684648	-1.276394	-0.772207	2.000000	1.000000	3.000000	0.000000	0.000000	12.000000	9.000000	4.000000	0.000000	0.000000	48.000000	36.000000	16.000000	0.000000	0.000000	0.277172	-0.322533	280.000000	310.000000	297.000000	294.000000	292.000000	2.000000	1.000000	1.000000	1.000000	1.000000	8.000000	4.000000	4.000000	4.000000	4.000000	625	56	65	98	66.071000	55	56	66	58	68	25	23	22	20	19	4	3	3	3	3	74	76	49	75	73	26	24	20	18	17	4	3	3	2	2	103	108	113	110	114	18	16	14	14	12	2	2	2	2	1
1	47	1.777799	58.230854	0.057046	22.242405	-1.460433	0.608056	2.000000	1.000000	3.000000	0.000000	0.000000	23.000000	17.000000	7.000000	0.000000	0.000000	48.936170	36.170213	14.893617	0.000000	0.000000	0.738259	-0.158032	10.000000	14.000000	284.000000	277.000000	28.000000	3.000000	3.000000	2.000000	2.000000	2.000000	6.382979	6.382979	4.255319	4.255319	4.255319	1175	58	72	110	72.146000	63	59	60	62	58	70	67	65	62	59	5	5	5	5	5	77	79	71	69	78	50	49	44	43	41	4	4	3	3	3	111	115	127	112	113	32	31	29	29	28	2	2	2	2	2
1	40	2.007175	30.281225	0.229377	27.949630	-0.720433	-1.126372	2.000000	1.000000	3.000000	0.000000	0.000000	20.000000	10.000000	10.000000	0.000000	0.000000	50.000000	25.000000	25.000000	0.000000	0.000000	0.507503	-0.504367	279.000000	350.000000	292.000000	287.000000	280.000000	5.000000	2.000000	2.000000	2.000000	2.000000	12.500000	5.000000	5.000000	5.000000	5.000000	1000	60	71	108	71.929000	59	60	63	64	62	72	64	63	61	59	7	6	6	6	5	77	70	69	71	68	52	47	46	42	41	5	4	4	4	4	109	111	110	114	101	33	33	31	28	28	3	3	3	2	2
1	54	2.083902	30.741119	0.076727	0.459894	-0.472902	-1.097833	2.000000	1.000000	3.000000	0.000000	0.000000	26.000000	14.000000	14.000000	0.000000	0.000000	48.148148	25.925926	25.925926	0.000000	0.000000	0.426886	-0.367379	280.000000	289.000000	298.000000	293.000000	287.000000	3.000000	3.000000	2.000000	2.000000	2.000000	5.555556	5.555556	3.703704	3.703704	3.703704	1350	58	67	99	67.957000	60	59	67	64	63	81	70	67	64	61	6	5	4	4	4	50	79	69	78	48	54	54	47	46	44	4	4	3	3	3	110	112	104	113	103	30	28	27	26	25	2	2	2	1	1
1	56	2.126602	14.076572	0.042700	16.664546	-0.335147	-2.131960	2.000000	1.000000	3.000000	4.000000	0.000000	28.000000	13.000000	11.000000	4.000000	0.000000	50.000000	23.214286	19.642857	7.142857	0.000000	0.468690	-0.639924	284.000000	282.000000	271.000000	308.000000	307.000000	4.000000	3.000000	3.000000	2.000000	2.000000	7.142857	5.357143	5.357143	3.571429	3.571429	1400	58	67	98	67.843000	60	62	64	63	65	107	99	87	87	85	7	7	6	6	6	70	71	76	77	69	75	69	63	62	58	5	4	4	4	4	101	103	99	105	100	44	34	32	31	31	3	2	2	2	2
1	47	2.231838	9.115048	0.105236	4.961524	0.004357	-2.439850	2.000000	1.000000	3.000000	4.000000	0.000000	19.000000	12.000000	10.000000	6.000000	0.000000	40.425532	25.531915	21.276596	12.765957	0.000000	0.308604	-0.724908	283.000000	280.000000	285.000000	284.000000	275.000000	5.000000	4.000000	3.000000	3.000000	3.000000	10.638298	8.510638	6.382979	6.382979	6.382979	1175	56	66	101	67.000000	59	58	60	65	61	77	70	69	59	59	6	5	5	5	5	71	70	73	72	75	56	54	51	50	47	4	4	4	4	4	109	103	110	108	105	36	31	30	27	27	3	2	2	2	2
1	26	2.174508	21.525247	0.057329	12.410199	-0.180595	-1.669728	2.000000	1.000000	4.000000	3.000000	0.000000	14.000000	6.000000	4.000000	2.000000	0.000000	53.846154	23.076923	15.384615	7.692308	0.000000	0.265560	-0.448015	270.000000	278.000000	271.000000	351.000000	342.000000	3.000000	2.000000	2.000000	1.000000	1.000000	11.538462	7.692308	7.692308	3.846154	3.846154	650	46	51	75	52.241000	29	59	64	62	30	34	31	28	28	28	5	4	4	4	4	27	29	69	68	28	29	28	26	25	22	4	4	4	3	3	22	24	71	26	105	16	16	14	14	13	2	2	2	2	2
1	31	2.418004	53.827896	0.243496	32.302649	0.604956	0.334828	2.000000	1.000000	3.000000	4.000000	5.000000	14.000000	6.000000	6.000000	3.000000	2.000000	45.161290	19.354839	19.354839	9.677419	6.451613	0.292475	-0.012151	42.000000	271.000000	143.000000	351.000000	345.000000	2.000000	2.000000	2.000000	1.000000	1.000000	6.451613	6.451613	6.451613	3.225806	3.225806	775	56	55	59	55.755000	57	26	22	56	28	29	28	28	27	27	3	3	3	3	3	25	28	59	56	27	27	26	23	22	22	3	3	2	2	2	0	44	34	58	52	47	14	14	13	13	6	1	1	1	1
