label	iVecCoun	dRadius	dCohIndex	vardRadius	vardCohIndex	d_varRad	d_varCoh	da5Radius_v0	da5Radius_v1	da5Radius_v2	da5Radius_v3	da5Radius_v4	da5Radius_f0	da5Radius_f1	da5Radius_f2	da5Radius_f3	da5Radius_f4	da5Radius_%0	da5Radius_%1	da5Radius_%2	da5Radius_%3	da5Radius_%4	dCos	dSin	da5Degree_v0	da5Degree_v1	da5Degree_v2	da5Degree_v3	da5Degree_v4	da5Degree_f0	da5Degree_f1	da5Degree_f2	da5Degree_f3	da5Degree_f4	da5Degree_%0	da5Degree_%1	da5Degree_%2	da5Degree_%3	da5Degree_%4	iRGBTotal	iRMean	iGMean	iBMean	d_luminance	ia5R_v0	ia5R_v1	ia5R_v2	ia5R_v3	ia5R_v4	ia5R_f0	ia5R_f1	ia5R_f2	ia5R_f3	ia5R_f4	ia5R_%0	ia5R_%1	ia5R_%2	ia5R_%3	ia5R_%4	ia5G_v0	ia5G_v1	ia5G_v2	ia5G_v3	ia5G_v4	ia5G_f0	ia5G_f1	ia5G_f2	ia5G_f3	ia5G_f4	ia5G_%0	ia5G_%1	ia5G_%2	ia5G_%3	ia5G_%4	ia5B_v0	ia5B_v1	ia5B_v2	ia5B_v3	ia5B_v4	ia5B_f0	ia5B_f1	ia5B_f2	ia5B_f3	ia5B_f4	ia5B_%0	ia5B_%1	ia5B_%2	ia5B_%3	ia5B_%4
1	275	2.153783	82.708547	2.153783	82.708547	-1.142913	0.960664	2.000000	3.000000	1.000000	4.000000	5.000000	169.000000	48.000000	46.000000	4.000000	4.000000	61.454545	17.454545	16.727273	1.454545	1.454545	0.057912	0.298080	19.000000	17.000000	170.000000	160.000000	146.000000	7.000000	6.000000	5.000000	5.000000	5.000000	2.545455	2.181818	1.818182	1.818182	1.818182	6875	44	55	106	57.525000	0	89	93	92	86	3456	79	64	64	61	50	1	0	0	0	0	114	111	99	90	3456	48	47	47	46	50	0	0	0	0	0	250	249	251	248	3456	174	144	128	99	50	2	2	1	1
1	171	2.173870	69.928592	0.020088	12.779956	-1.046543	-0.180783	2.000000	1.000000	3.000000	4.000000	5.000000	98.000000	34.000000	27.000000	10.000000	1.000000	57.309942	19.883041	15.789474	5.847953	0.584795	0.253796	0.191032	37.000000	170.000000	348.000000	42.000000	350.000000	6.000000	6.000000	5.000000	4.000000	3.000000	3.508772	3.508772	2.923977	2.339181	1.754386	4275	33	40	76	42.011000	0	119	58	114	109	2730	33	33	30	29	63	0	0	0	0	0	65	70	68	64	2730	34	25	25	24	63	0	0	0	0	0	250	251	249	248	2730	88	81	65	51	63	2	1	1	1
1	253	2.219580	78.525292	0.045710	8.596701	-0.827250	0.587035	2.000000	3.000000	1.000000	4.000000	5.000000	126.000000	58.000000	49.000000	10.000000	10.000000	49.802372	22.924901	19.367589	3.952569	3.952569	0.174261	0.276658	88.000000	358.000000	176.000000	359.000000	342.000000	6.000000	6.000000	6.000000	5.000000	5.000000	2.371542	2.371542	2.371542	1.976285	1.976285	6325	35	43	84	45.282000	0	57	66	68	65	3741	68	64	60	54	59	1	1	0	0	0	64	79	85	70	3741	49	47	43	43	59	0	0	0	0	0	250	251	249	248	3741	87	79	77	75	59	1	1	1	1
1	302	2.390684	64.602622	0.171104	13.922671	-0.006382	-0.656473	2.000000	1.000000	3.000000	4.000000	5.000000	148.000000	60.000000	52.000000	19.000000	19.000000	49.006623	19.867550	17.218543	6.291391	6.291391	0.446091	-0.096307	356.000000	276.000000	174.000000	4.000000	3.000000	9.000000	7.000000	6.000000	6.000000	6.000000	2.980132	2.317881	1.986755	1.986755	1.986755	7550	45	53	100	55.966000	0	73	67	81	69	4001	64	64	60	58	52	0	0	0	0	0	155	81	87	90	4001	58	56	52	48	52	0	0	0	0	0	250	249	251	248	4001	196	157	125	122	52	2	2	1	1
1	298	2.192369	70.167411	0.198315	5.564789	-0.957794	-0.159452	2.000000	3.000000	1.000000	4.000000	5.000000	156.000000	64.000000	59.000000	13.000000	4.000000	52.348993	21.476510	19.798658	4.362416	1.342282	0.186903	0.223181	354.000000	161.000000	126.000000	356.000000	344.000000	10.000000	6.000000	6.000000	5.000000	5.000000	3.355705	2.013423	2.013423	1.677852	1.677852	7450	38	48	91	49.912000	0	68	109	73	69	4292	64	61	60	60	57	0	0	0	0	0	65	155	77	86	4292	50	48	47	45	57	0	0	0	0	0	250	249	251	248	4292	195	167	146	134	57	2	2	1	1
1	310	2.143031	70.248735	0.049338	0.081325	-1.194494	-0.152189	2.000000	1.000000	3.000000	4.000000	5.000000	175.000000	59.000000	52.000000	21.000000	2.000000	56.451613	19.032258	16.774194	6.774194	0.645161	0.259787	0.116824	178.000000	356.000000	341.000000	322.000000	155.000000	6.000000	6.000000	5.000000	5.000000	5.000000	1.935484	1.935484	1.612903	1.612903	1.612903	7750	41	52	99	54.069000	0	93	87	101	98	4189	71	71	69	69	54	0	0	0	0	0	78	81	80	117	4189	57	50	50	48	54	0	0	0	0	0	251	249	250	252	4189	173	169	149	142	54	2	2	1	1
1	303	2.288044	59.883974	0.145013	10.364761	-0.498797	-1.077921	2.000000	3.000000	1.000000	4.000000	5.000000	155.000000	82.000000	47.000000	14.000000	5.000000	51.155116	27.062706	15.511551	4.620462	1.650165	0.314731	-0.027923	0.000000	358.000000	2.000000	1.000000	359.000000	9.000000	7.000000	7.000000	6.000000	5.000000	2.970297	2.310231	2.310231	1.980198	1.650165	7575	41	49	93	51.624000	0	65	63	69	66	4227	65	65	63	59	55	0	0	0	0	0	67	78	77	87	4227	58	57	48	47	55	0	0	0	0	0	250	249	251	248	4227	183	151	135	110	55	2	1	1	1
1	320	2.465653	94.659476	0.177609	34.775501	0.353277	2.028066	2.000000	3.000000	1.000000	4.000000	5.000000	159.000000	75.000000	45.000000	19.000000	11.000000	49.687500	23.437500	14.062500	5.937500	3.437500	0.198994	0.609565	70.000000	115.000000	66.000000	21.000000	20.000000	10.000000	8.000000	7.000000	7.000000	7.000000	3.125000	2.500000	2.187500	2.187500	2.187500	8000	29	36	73	38.125000	0	68	67	65	59	5077	84	81	78	78	63	1	1	0	0	0	64	70	62	79	5077	72	62	62	57	63	0	0	0	0	0	250	249	251	160	5077	72	59	58	50	63	0	0	0	0
1	324	2.445328	65.119769	0.020325	29.539707	0.255769	-0.610284	2.000000	3.000000	1.000000	4.000000	5.000000	177.000000	82.000000	32.000000	20.000000	6.000000	54.629630	25.308642	9.876543	6.172840	1.851852	0.464084	0.034960	8.000000	357.000000	359.000000	356.000000	0.000000	9.000000	8.000000	6.000000	6.000000	6.000000	2.777778	2.469136	1.851852	1.851852	1.851852	8100	42	50	94	52.624000	0	109	106	113	115	4524	78	71	68	65	55	0	0	0	0	0	132	85	97	95	4524	49	49	48	47	55	0	0	0	0	0	250	251	249	248	4524	182	156	153	131	55	2	1	1	1
1	240	2.347059	59.063882	0.098268	6.055887	-0.215671	-1.151168	2.000000	1.000000	3.000000	4.000000	5.000000	101.000000	65.000000	41.000000	18.000000	5.000000	42.083333	27.083333	17.083333	7.500000	2.083333	0.369986	0.037806	177.000000	349.000000	14.000000	350.000000	270.000000	6.000000	5.000000	5.000000	4.000000	4.000000	2.500000	2.083333	2.083333	1.666667	1.666667	6000	42	52	103	54.824000	0	67	69	77	89	3038	66	62	61	60	50	1	1	1	1	0	87	94	93	65	3038	52	48	45	45	50	0	0	0	0	0	249	250	248	251	3038	95	75	71	64	50	1	1	1	1
